log_alpha,PhoIndex,log_norm,nH,log_c_bat
-0.28542308181630216,2.427787186422964,-2.354283844274487,0.25582690840295375,0.4847290777476698
-0.3471288169710012,1.9466777226875855,-2.7915701168047353,0.2707856346948375,0.2935899146561469
-0.3000920295622094,1.984528484609955,-2.7403072790445724,0.27442623362623375,0.22325931153952427
-0.3351477362114883,1.9396141087735992,-2.7016355168325066,0.254034453296879,0.04845026825009491
-0.3749190182217461,1.9161915760116814,-2.6939217194188787,0.3000360911217444,0.06545924086069665
-0.22525880580531843,1.9069996186929976,-2.841735912772031,0.2526827470114881,0.13721554945294145
-0.26901677941911895,2.2529639346129358,-2.4468079866062977,0.3940588940560251,0.2876821292739553
-0.33356702546211436,2.2623867006584923,-2.4917071410107057,0.4189544292365296,0.4167129900499036
-0.26293049611485597,2.306850365958178,-2.4152632507764356,0.41100786927631505,0.40906632008908694
-0.301562569062948,2.068095011686636,-2.6160974134117616,0.22523049263653516,0.26218213262291457
-0.3068439757792816,2.3186278108528104,-2.330737622752212,0.46141299639092104,0.3491977677792588
-0.29911806524474316,1.9463143705609733,-2.69148922075459,0.1456875179539008,0.12141162576379116
-0.28957708965802453,2.1138689710569443,-2.5736335571999724,0.19088267016766713,0.23192180367606108
-0.13555049377553763,1.989832489989007,-2.8975407604843,0.29226659297541135,0.3503514732827211
-0.3635568989423179,2.02828761671592,-2.652334299655456,0.23874238724048397,0.21922436738827433
-0.34304902169308504,1.86823143751069,-2.7653435648788665,0.271380312536189,0.023630662231934885
-0.31869508118832024,2.072936500897864,-2.58302836707737,0.3565167972926857,0.19372839596865798
-0.029151709499747547,1.9133229813018122,-3.004141511043771,0.2100931556127565,0.3042755461130231
-0.19962081403226883,1.9263684740198137,-2.8779309184602333,0.2992974364407266,0.2905503786038497
-0.38123811716968103,1.951153600377766,-2.5838052505909044,0.32577529189062726,-0.05044944931409501
-0.29339053779078106,2.4754068255368953,-2.3606512343510544,0.3367865434300489,0.6002436292904831
-0.2923494754707552,2.2349343021730323,-2.5501846352802446,0.2097075229594696,0.42339082455976307
-0.39923530401535334,2.0625851666649586,-2.5591085576458066,0.42964634105860455,0.13813554103412873
-0.35256495701373614,1.898513004449324,-2.653319508187584,0.26038231286999364,-0.05501810317501499
-0.026625247417050746,1.8805895350893473,-3.050103723219936,0.10390712584483684,0.32272269967298084
-0.4313713501199956,1.6733223803983872,-2.83297000938695,0.1609981595771177,-0.25521488136283577
-0.3449046887263063,2.071160968779872,-2.5283514185158027,0.16018239827892572,0.1976275556726652
-0.31019159450462297,1.9009878092154886,-2.67884431874672,0.11520322372026057,0.019139471625345017
-0.3435523829750413,1.7925909534628923,-2.843546959903816,0.2654067967484233,0.025868866076617092
-0.31824847725804717,2.1361569917865997,-2.562030235737612,0.22979272173080234,0.253842184369252
-0.3307839897062723,1.9099531807669223,-2.710652853076053,0.17028545552166602,-0.07030101666442201
-0.018437280782946264,2.092864290063685,-2.9685786644442405,0.23889379727332416,0.49690825952020634
-0.28832270338556687,1.9707452200920352,-2.737721705739657,0.3933142309573655,0.14274042836255108
-0.30095787268757945,2.068592448441278,-2.556379377961442,0.13345925646416446,0.12491288395513678
-0.029642506517563394,1.9023550234815245,-2.9990063008261805,0.2751260277840894,0.2188679709100143
