nH_cha,PhoIndex,log_norm,nH_xmm,log_c_xmm,log_c_bat
0.5381543220905367,1.8041495427714007,-3.353456942243396,0.14229106540036363,0.28299342731889277,0.6156080556161951
0.4335824688806269,1.8217843189908183,-3.4011509433239757,0.10913225288771235,0.2936792633973775,0.7732931185719225
0.42811057747003245,1.826523247692943,-3.37286185329622,0.10787420060535372,0.2640868872888389,0.5577270574815634
0.48553269024407963,1.8420586536116108,-3.346350758754869,0.13860291871678057,0.28319971561450963,0.6460872246899114
0.41290868869370156,1.7796377819088516,-3.4037964982189277,0.13228823647311236,0.30938046119832574,0.5888667993249141
0.7091776835837372,1.9265697776888047,-3.2680880142230855,0.1320610072806262,0.2141997454478326,0.6443581463122585
0.4581184958121304,1.8701914543171148,-3.344047925528987,0.12809248274700819,0.2713399790497333,0.6486895533297974
0.3047875179648001,1.7355481377783348,-3.473442001900753,0.10292142522156619,0.33714484792027744,0.5820323382012553
0.46025806036793104,1.8030423484995974,-3.3555503524387245,0.10028176201765122,0.25419199757652877,0.5823047905157521
0.3821890892061395,1.7846207068576319,-3.3999521561063566,0.1255915955915963,0.3033333947230208,0.5413899054671609
0.4320923332063633,1.8582127438316265,-3.331097605558954,0.11610345470851427,0.23044678773113958,0.637565384702973
0.48633361183458645,1.76711770669786,-3.3890723668271736,0.10451871812414856,0.25151726728593604,0.6626310742624475
0.42335926287350034,1.7793286825771755,-3.419738797614435,0.13437258100555335,0.3332077148928909,0.615103616746631
0.2437506584020442,1.730738617871248,-3.481249569222864,0.11600525682802049,0.35447221566423703,0.4913857127394974
0.506668013538586,1.8426796404052825,-3.3621417146670844,0.13858424592103027,0.29373518892770933,0.6791494933696831
0.6071077335302056,1.90141980865106,-3.262275766283679,0.18510326953890743,0.2282607419853908,0.5541069059164228
0.5244367878113263,1.8288551989265602,-3.3252190826764627,0.10270661442312486,0.22069430650337574,0.5335465020314725
0.5318601003121801,1.8811606216634034,-3.331483653945758,0.17756496166962937,0.2958344980465888,0.7628690366345234
0.40497999493899595,1.813773481449769,-3.4010093677116524,0.10736352418341188,0.283107995980606,0.6216333087164694
0.468550182722524,1.8280476855853172,-3.336247055925341,0.15485055560855795,0.28333398404702703,0.5780556559682304
0.3768822811550214,1.847175713741771,-3.398046403495054,0.10134412934349868,0.30075698964535835,0.6665755437065264
0.34466314714971125,1.8206336816009088,-3.404228199420493,0.10223803746441121,0.30119117883151914,0.6500632114395821
0.49570981728233,1.875141536592501,-3.3144504868179068,0.1277532948472503,0.24045697063928206,0.6815540384305943
0.323312406472665,1.8024763486080082,-3.465369179110962,0.13516212200722838,0.3709854112591833,0.6734653167259601
0.5241368494873329,1.7887974688995183,-3.362723072533899,0.18291864318081513,0.2885933154322564,0.5234767926396318
0.29548910257403993,1.7618211157769221,-3.493477784960634,0.11401400588328856,0.37410687543041266,0.5204120765851048
0.5259110428230361,1.8425841639319,-3.339094562551088,0.1369963133603103,0.27158903393839773,0.6518772829916406
0.4450243766700889,1.8982288631946842,-3.3368721015504432,0.1424788215079615,0.284144551483239,0.6554061198828893
