nH,PhoIndex,TORsigma,CTKcover,Theta_inc,log_norm,log_fs,log_c_bat
16.03456572478911,1.8880624380833153,8.170738443695141,0.34373145085396045,88.25621061813038,-2.3794214927217365,-2.41210639094043,-0.12604587232669673
14.47684031819899,1.8771641624555435,42.08721987248332,0.4013164318969743,23.87331647363602,-2.4311671420766174,-3.926280460830589,-0.2418221846263654
15.517882993512025,1.9377463277628801,68.33556872099473,0.31785981078908776,5.254919418083215,-2.395289403263833,-2.178423950272601,-0.18659702530570432
14.296799056497631,1.6216086915840413,63.91374582752217,0.50083026953767,53.41357848724191,-2.626247896322366,-3.006184583478752,-0.44434622185403216
14.585577776283506,1.7308661422909375,47.940686391513786,0.049433784692724234,3.4080568131466564,-2.5263395020494426,-3.580718771418143,-0.44209994364986815
16.947970735790555,1.8803969695831326,18.131675821392903,0.5334370981037171,15.768880560333946,-2.4004820712875388,-2.572963208354837,-0.23095102416522895
14.592660128451083,1.7879199653757103,65.59787829437742,0.19387330425273852,88.79327103751592,-2.5056602823234724,-2.226102776284021,-0.27561594815247437
14.8988123279892,1.8103005066120759,52.78733514685428,0.2285126511856763,65.89454279431291,-2.493995567500023,-2.9304900975866195,-0.25527705199922057
17.123898153829895,2.1459280217065158,10.45813842403158,0.08533499617248785,52.824452047370684,-2.182525006456654,-3.0348927674326247,-0.020974189307938262
17.99782923591264,2.0748145154360182,40.14519156087668,0.4739767110320312,33.375241346092885,-2.2241878319421495,-2.8949328154822807,-0.11224254594538963
17.705592123444916,2.163841674071439,44.58314770004736,0.12084098854747455,18.125439803094125,-2.18788134265324,-3.044746214429898,-0.013650284268371005
18.896667694340366,2.324062382695443,55.444730701005405,0.19788463065528666,50.587857753167306,-2.0397140731745376,-2.675432727147996,0.07180383829965065
17.713216974061748,2.192407567119095,68.4108226328176,0.3641492624482861,13.462089603393492,-2.1485086250992906,-3.104537177931796,-0.019638178767800385
17.452425491930523,2.092463474607732,62.91114018017862,0.29355888942189656,43.817658237311065,-2.235060282064193,-3.6308078571227136,-0.08632009379352801
13.142312800465499,1.6300872429700939,14.519866071470672,0.15816009047527166,60.71644523911708,-2.678116675548724,-2.463666972174116,-0.32241076379065403
16.62082973389425,1.9536170909602775,20.817603922001062,0.1797119293077244,54.64396924422173,-2.344084638013185,-2.6332189569536104,-0.19879068984765957
16.752757749825957,1.9630015384883406,79.50001973772854,0.0797058478804894,48.044966021569614,-2.316274734483798,-2.679331522813319,-0.21328248074255185
17.576843433545406,2.1966214739628653,33.28099506127725,0.4089550863549151,48.23023799497567,-2.1444279182474113,-3.3068360957204175,0.013970942996028857
15.280763656857447,1.7959971420053644,19.295106828322325,0.2923956499197243,69.68189330880112,-2.4522772053031483,-2.603650099656083,-0.2594930910638221
16.16572672946907,1.9021767440778867,23.80231828344785,0.04124440343503276,54.37777939336527,-2.3705058832630965,-3.821918393989604,-0.2284033028680339
14.491270337021536,1.8264930836039477,61.23463482318716,0.09116372890288232,34.427837618756115,-2.465724552234643,-3.9861523561326138,-0.20610123978368378
17.781757397497316,1.947198328875806,8.827355728267545,0.5628834538054839,30.992672358369656,-2.324316305559495,-2.17406376515388,-0.22702360825467027
16.17100056382193,1.9763105633781533,14.25781400552511,0.1767627170674064,79.05512982575506,-2.3346282815823045,-2.5634225686116077,-0.12208982436781357
15.686753190767272,1.6351067459548305,35.32197645852466,0.21152800030769822,41.8983057725029,-2.581518349744408,-2.2853302142510437,-0.5407835323880051
13.599523206070513,1.817994965884144,29.260767971981814,0.060437526056900226,48.188624720606775,-2.5137804735527123,-4.20035055408086,-0.2041530377152483
13.179813106330425,1.5145813806702264,10.730850954282213,0.1317777705797398,47.52981413118306,-2.6414510985408013,-2.632928138009206,-0.49045617310234757
14.247884672252344,1.6907068191858183,6.834868674131154,0.4835837146409043,39.19546094753608,-2.6238255813882825,-2.576635570277651,-0.3550470101043408
13.973562494793274,1.765676277685454,15.413249591607121,0.34365291185735936,25.048145878985377,-2.442200512676671,-2.5054495687760183,-0.3550415699362952
14.937866443329412,2.0211068040740336,33.76749237282105,0.35361671433188924,58.03678560716724,-2.331301229726215,-4.660561671748303,-0.06779559489793652
16.514911131138398,1.7789211871008788,48.60631180340636,0.02514056278298238,57.38095121682621,-2.4504007508852617,-2.4446934788188432,-0.29893323464586175
17.3456528345312,1.7985945221310815,70.66785801550952,0.03455465092321018,32.59022391606615,-2.4006915390221764,-2.469177994310984,-0.3581782830192336
19.092602877113972,2.4381103557986146,47.35327976570025,0.055425329408908076,26.842776886377678,-1.9113272894609339,-4.98802534960065,0.018654670145160868
19.041606217564745,2.2795490675242416,10.301398415430285,0.34170892926026725,15.38448838059956,-1.7724790983104426,-4.435449081175877,0.08948630186269035
16.10464380793295,1.9763639481248334,46.73250395544275,0.36818811406701285,44.452418396708914,-2.335565883403315,-1.999719195439225,-0.1825953115958413
15.461074825066778,1.9488495713079268,43.813106042694855,0.3450086970423181,41.22829860833229,-2.386620951165952,-2.2148316764472034,-0.1759846131729168
14.57145788865924,1.576717870757196,29.072912101572545,0.5345145353481664,57.335441017657175,-2.6461938946108168,-2.7725184356308885,-0.4821300674828801
15.679599273533004,1.9883030796994396,47.62971426278169,0.0842237884364076,27.601801552582764,-2.364968924097341,-4.828395682206548,-0.12704913812780094
16.72319980191619,2.024579745451336,14.29918047440524,0.19680076839982988,70.77009584686039,-2.332636632945416,-3.5742166135146958,-0.0777342917369841
19.290933648940552,2.131345172439191,66.37695077763071,0.3461216006682557,9.226319443822913,-2.158256977008593,-2.1575602591820777,-0.14168991350999938
18.014634226305482,2.0894799867103067,37.12972370411433,0.26110159206832634,11.401501321563142,-2.207551494064445,-3.7385304002947306,-0.12444849633896404
15.22387349259097,1.8655927366824514,63.37356288940069,0.3562702454463447,87.32550290309582,-2.428965143701264,-2.5519996556665996,-0.24483743970701277
14.25591061385996,1.6537612716337373,79.83422169408043,0.44739713444905366,8.468569833674632,-2.5818289570883737,-2.107684875783492,-0.42035279148661275
17.941293713279013,2.2388491892503777,69.03502235526594,0.11554725683117553,9.97625192513442,-2.106808976153973,-2.617478591109482,-0.016878379593286752
15.775016715235274,1.88869352281994,9.252293982377239,0.045016122789201585,57.667351719878965,-2.3765164512181403,-3.373221752286371,-0.21930580805503608
15.861012086492343,1.823398883054978,15.662597832902213,0.26994898884537966,25.290882447407075,-2.3002193310036705,-2.9224571266263863,-0.20758294034583546
14.06997316673957,1.7214790692602686,40.99527503124713,0.37456406826253574,41.44384872978847,-2.5704079779804565,-2.2285246780924055,-0.35446413047462544
16.713587943231254,2.0312479608353984,75.79679760580312,0.20993016603616735,29.699996369215853,-2.2521280186359283,-3.7376072488244185,-0.28849179974575945
15.048595285489675,1.849102943608453,38.90460815013796,0.0003619360102227964,28.91676697119606,-2.4547822490669913,-2.083308282064295,-0.19013279802167693
15.911697590742461,1.9868507270318148,82.38479074441817,0.4758945118518644,86.53419318799108,-2.328669679573465,-1.7069379074798685,-0.13243789177237586
16.728269528598734,2.1902219430871206,53.63712600223838,0.08215725206407713,65.93418551124472,-2.1974918461761033,-4.866008152596571,0.05981425766208237
16.251552123579838,1.8706270243437597,75.3601674582636,0.16490422357589518,71.88204589032566,-2.3810795054154203,-4.692323784021012,-0.31556324637009614
13.045844603820731,1.6500872383784804,8.140708337397154,0.015101702173804276,79.11418908667915,-2.6268071177045806,-3.09248586826116,-0.26331430055945915
15.958137593613992,1.9740148038815355,43.00177545189424,0.48402130830126927,43.4508185178174,-2.356087438130445,-1.989905775218396,-0.1812603084075538
16.418372037447636,1.9685587682527959,18.161042200786646,0.5926236172874431,44.41814183819883,-2.36268268847218,-4.480714293961707,-0.2026924443682787
17.224538697349303,1.9052894203206203,67.32529955844876,0.06052185834981216,65.09042387738918,-2.359702420683887,-2.6918951819256014,-0.20759537830705954
19.73357761597686,2.518425501230797,67.34733325201064,0.2211281323822029,7.5579148307586745,-1.8771734281459596,-2.6276833140919917,0.1325803742986118
14.62180831658202,1.9629303327941625,59.326748322946514,0.21401312297219796,31.65771804856827,-2.371760058536814,-2.024622382407602,-0.1740133415949059
13.059603978485901,1.527636500314047,77.31067475381121,0.5774000914435587,74.0471388357303,-2.7353767728318825,-4.164234177738497,-0.45822944516383735
15.89311156009463,2.0789932242085025,36.84087288535869,0.16615257909306919,50.496336234391244,-2.2899238391483716,-3.5425239223045164,-0.11198128011366171
14.778033959485017,1.7243729660731435,6.082336210435121,0.27794584552992235,49.35995698161541,-2.5411215875305886,-4.797584899664436,-0.383152579322494
15.61244533962646,1.9049225766278908,65.10894675961487,0.3269333456263296,80.4539972473614,-2.41055447106526,-2.2117311668514317,-0.16081945462619118
18.25971190749372,2.283933584005709,81.81558682617298,0.36314993103498977,83.66926249578543,-2.083058131603238,-3.6744537687531187,0.09705539666336116
13.49812102707357,1.7623888386338604,37.90878286138515,0.15079376006938738,10.519019231169365,-2.5735531164297236,-2.9587437245824453,-0.3029887468800593
13.512875263070457,1.8164870670011788,77.9438642724834,0.18096044384196355,67.40022321682264,-2.530827818337908,-4.063235205708512,-0.23115412523761125
16.568769428988954,2.1814510226741284,16.564070849154874,0.5275596123211718,86.67816171842131,-2.1720673279414715,-2.7272985216873726,0.023850789916129322
17.342238326997638,2.2207756091377266,40.2682121031295,0.4346397116627669,12.970192304710134,-2.1327754811672666,-4.385583122764316,-0.02163606076647373
15.506260497482613,1.7302998345593716,12.48744593405193,0.4092619957106707,11.917283995677227,-2.4774662870897695,-4.602155990681191,-0.3128754754894485
15.729550344573068,1.8282991957575203,29.990073796235013,0.43374477224725194,83.96265571719199,-2.4325504749393527,-2.534863512420814,-0.27728907669979774
19.40145873011623,2.431176351077582,51.77517387246871,0.07108745969912894,42.95691143932514,-1.931891290367017,-2.9782220901896244,0.12200079585885559
18.341773069895922,2.3290837929955037,78.60049180280289,0.09641834878303311,36.510001299134174,-2.0800078197554357,-3.0794467496080347,0.06137685296475959
18.493446005796127,2.1986562203611855,74.65406265169726,0.0923079254034241,78.04664960866394,-2.169207561478961,-1.9331016017469151,-0.06993939525703308
19.23896118628578,2.218405636971251,57.32609874809818,0.27878302593476817,34.81057302285345,-2.085702107005523,-2.4785593845671143,-0.05867860849590201
14.839998900285543,2.0432294067592784,17.964842449136796,0.08745054687925487,60.11916043082761,-2.33666569536022,-3.024629258047553,-0.06844065606800331
16.71212683353425,2.179773228416576,16.761620549590788,0.21558002970800125,87.82118867223735,-2.1774261116273275,-3.8695484484875338,0.08990574430873943
13.906913356600363,1.6943539069763285,26.075114702501264,0.29065992584801775,11.426185441613285,-2.555104766102388,-2.152641412925475,-0.40874537536407596
14.470719761974658,1.5231206620248676,69.81208638747856,0.006068657899087959,75.81858970347601,-2.695301588046157,-4.4560786968604935,-0.5042336926884388
18.02765100663063,2.1381302673883815,73.13787118395133,0.1370406773593065,16.58655784807232,-2.1868143905563144,-2.143887905761391,-0.07374794054977185
17.241510936060408,2.1813829151923176,82.53922677235583,0.3533321470665966,32.81499136458911,-2.1671570845646473,-2.272119725434657,-0.00505375545288389
16.54322970998792,2.0577269077293243,28.217332229702762,0.06520171335549829,46.498546704722436,-2.269892988566622,-4.149416601234391,-0.10319336694523462
15.33976911111485,1.7758413583880648,64.57896561924062,0.005271749435219774,42.5861793519828,-2.4868273499830655,-4.513530710618489,-0.31629835916439863
19.641262836109,2.3336218139095712,66.55135539644928,0.4789377489615037,61.44104355979089,-2.022169622348825,-2.7256842230416605,0.08537714003737329
17.35625941964945,2.1593196715408713,77.45240274434234,0.36456327993957244,29.598734893485243,-2.1778841292981452,-1.926405811194578,-0.07970531261627889
18.269775277310558,1.931148229467685,6.464999851238919,0.41393696143157677,14.597514297070655,-2.184268297505754,-4.683437302161629,-0.2708054716277023
17.734115292737222,2.023094015739105,36.33271227504099,0.2642822394009409,45.91784751276883,-2.252259474939886,-2.758724537053446,-0.28753086600206545
14.623486446289677,1.8084840477985273,24.9796116885069,0.5374496318851926,49.592384331368606,-2.5148981688403733,-2.3120273515212166,-0.2559016909623345
18.44396998850432,2.2555656485719364,78.8496365283533,0.4768130051607555,17.990236577608528,-2.074268363997919,-3.9910605739476104,-0.1361280847177755
17.758594139382797,2.019318389120357,48.43002222288691,0.24065336010854432,21.798484041705855,-2.2632829327862467,-3.5166310992746177,-0.11675748866900881
17.576843433545406,2.1966214739628653,33.28099506127725,0.4089550863549151,48.23023799497567,-2.1444279182474113,-3.3068360957204175,0.013970942996028857
14.428930263410043,2.078825633335432,45.95894693050388,0.2105135964173911,74.27582842811658,-2.3047759390801,-4.7396370513700585,0.03926609319441132
13.470108773253067,1.6650503689479437,77.09913837424908,0.1772286229572894,30.029915866870496,-2.5875074918096894,-2.0830095963977717,-0.39805007248388835
18.811091087988743,1.9799069168025394,8.289817084946117,0.5316233539492031,4.482762501641133,-2.2575601734855417,-2.9949627825311804,-0.17553933317475112
16.069991240026248,1.877167555375926,34.14003237949187,0.4825633502125271,76.63927322369213,-2.42317547012901,-2.558392089073049,-0.22963511391193014
16.60488019659805,1.9139330692476648,47.48168159862176,0.4140062504069834,61.148063796101376,-2.372098234451773,-2.2080151062023736,-0.22693082082087723
16.805269037645907,2.3195284174184216,80.23653648919479,0.3756091546346833,76.27081177253424,-2.097379507057145,-3.8471157794009674,0.14113880851531513
