log_alpha,nH,PhoIndex,log_norm,log_c_bat
-0.31033584240955814,0.26376359485017387,2.2397822537593823,-2.401585096872507,0.3964314054530542
-0.354743017897142,0.3649421581434056,2.103053383938484,-2.425138205174659,0.21526253840581266
-0.28059692924705004,0.28143918088857567,2.4295974219273795,-2.299659545489414,0.531918676291012
-0.0052412485211139614,0.2103245471199084,2.137826018444165,-2.872140174249307,0.5871657147847973
-0.01429462920248259,0.15075213851055508,2.012881875262572,-2.9159501876216827,0.5354850046826789
-0.19954297609483285,0.2264386705650311,1.852641954727299,-2.8374217404742113,0.22022409566334722
-0.2954046304125959,0.10249076719722057,2.139122998257074,-2.4620095558226485,0.2980258589876823
-0.25370842098404034,0.11847427372686434,2.3273150013021384,-2.3178251266843954,0.43184461343223735
-0.3053700788675735,0.3257121223822107,2.232752758927907,-2.3588923761556133,0.2899089917275972
-0.2893383345914571,0.13878025849557296,1.9691826472153986,-2.6118271473218138,0.16099821668134484
-0.2820924730344734,0.33745382344859987,1.8683670056574608,-2.747981433671268,0.132063465818123
-0.10228845434952394,0.2698503823848416,2.0211108549374406,-2.8572283868052955,0.5126977170170715
-0.00035720071201739145,0.20105780142738944,2.071867495581838,-2.852215228970445,0.524475322167381
-0.3181689313530145,0.2709897725604949,1.927919305911245,-2.59110715654486,0.01880203176769335
-0.3278668971547689,0.3349837970835304,2.121882260459894,-2.4685858729966315,0.24957347704534527
-0.36500951163991413,0.19924708302738015,1.888586976546458,-2.5106050773782815,-0.14519261963904895
-0.2971408159476219,0.16184077095128366,1.9273285552928328,-2.626784242076052,0.1500700058340776
-0.03959668024313712,0.22217706507619528,2.044478666539971,-2.8586246002129054,0.5378677472125737
-0.30110464632117195,0.1469425170417013,2.1083345023664783,-2.519147426121438,0.24194076732845549
-0.3480823349384228,0.12565903967854503,1.8223693959399614,-2.6770006724216637,0.0075353736199264
-0.3464531856169355,0.10275951926700691,1.8258855002473025,-2.678739735328459,-0.04170395214238609
-0.2935717655807164,0.19909169980016136,2.2528906704435467,-2.419183446089699,0.33832445675118916
-0.3400502841615509,0.2455512751282766,2.137948453686896,-2.3936520832136257,0.16168913874711333
-0.3046026004555056,0.2529675867236919,2.2000740079435173,-2.4099106788766846,0.3023033871020726
-0.3278668971547689,0.3349837970835304,2.121882260459894,-2.4685858729966315,0.24957347704534527
-0.36354516593107,0.17266089904166515,1.9326884070562045,-2.6780536891091415,0.15280174381391776
-0.36719702675245247,0.1092285793442457,1.8511227681100624,-2.6798514084528318,0.06621999127444078
-0.1599504334499815,0.1738438497279531,1.9426354048132835,-2.789570956701834,0.3513359150210609
