PhoIndex,log_norm,nH_cha,log_c_xmm,nH_xmm,log_c_bat
1.8968024653182938,-3.462468948196788,0.5248170945250603,0.2990706440535116,0.15166310237816277,0.6511282027312558
1.8482215970882556,-3.43939356911235,0.644528006035717,0.26209267946003445,0.1410846171027348,0.618438030626044
1.8239043285704515,-3.49783367092642,0.49043514862250426,0.3149409211990384,0.13295438836289436,0.6531091056335908
1.90515917805946,-3.4066687929749486,0.8665643346695179,0.2864621704766206,0.22634923811716898,0.6770480113355275
1.809785393804082,-3.4797348847575593,0.5534928997074511,0.32170232355387784,0.14576403438478536,0.5268415417517162
1.981063712083332,-3.3392913552653196,0.8666953137478329,0.25468875344812836,0.2519046246345309,0.7361504542337463
1.8420249258153796,-3.47119429728477,0.5319457487709229,0.32664705733570765,0.16041977268046492,0.7289052729423221
1.8705775854340672,-3.461095179339135,0.4667534036944446,0.3212301096947052,0.15523572796620289,0.7245287863928307
1.898574556674848,-3.397463774060544,0.7439637685799586,0.23912875158300917,0.11556743056597656,0.6591952637089876
1.8758562314164529,-3.433363543889744,0.65296530944931,0.2654800128639827,0.1572262764369053,0.6298431592648159
1.8364798625769143,-3.460619900077827,0.5633403452321305,0.28194474127438895,0.14266479096499696,0.6275162349944876
1.8327917964058786,-3.4340159286541407,0.7561602199235277,0.2577884327719564,0.12649635746156535,0.5501866085624956
1.9763903162059404,-3.38627200014413,0.6002713322282625,0.2767622194370316,0.18091353686894718,0.8034416812679919
1.7950488622818928,-3.472386829970107,0.5732511062929477,0.3070861711442072,0.17333387758950947,0.5514335387920228
1.957469511454664,-3.3797119953523165,0.6195807260404141,0.2710785220192351,0.2253770983323879,0.7577831275605582
1.8278270202634546,-3.4982959941830707,0.49251614010747324,0.32038570802274546,0.10161855955967389,0.6781940134756753
1.896458378736367,-3.45902530072033,0.5224208501414191,0.3067108029065613,0.10990761898595348,0.6433600212019291
1.8299870575271757,-3.4844292440462237,0.48566898793728264,0.3219299503070292,0.11277722480045058,0.5071575158221571
1.818350832639111,-3.4889749368700915,0.6130582357060446,0.3350493564279253,0.14027098847810215,0.613683690678461
1.9093201428346085,-3.374348043945112,0.6987416928538585,0.22586321655158415,0.1387926559723096,0.6885187479698465
1.8853046263538678,-3.412674637476094,0.6690967240593801,0.2667647131414823,0.1702878979295737,0.6278270156815082
